Pipeline,GAN_Type,Synthetic_Quality,Mean_Diff,KL_Div,Training_Time,Epochs,Batch_Size
pipeline1,custom_gan,0.5331013862569819,0.8758157830769716,0.8758157937296176,21.1s,200,256
pipeline1,custom_gan,0.5331013862569819,0.8758157830769716,0.8758157937296176,21.4s,200,256
pipeline1,custom_gan,0.5331013862569819,0.8758157830769716,0.8758157937296176,22.3s,200,256
pipeline1,custom_gan,0.5041542724807014,0.9835198296745988,0.983519836258611,603.7s,200,256
pipeline2,tensorflow_wgan,0.9424530422393966,b'\xcd\xdc\x19=',0.0610608223236926,8.1s,200,256
pipeline2,tensorflow_wgan,0.929066632188578,b'\xd1\xd5E=',0.07634906405402378,8.1s,200,256
pipeline2,tensorflow_wgan,0.9260477421304053,b'\xf2\xb6==',0.07985793226973913,8.4s,200,256
pipeline2,tensorflow_wgan,0.9417484902488745,b'-S$=',0.06185463566363832,68.3s,200,256
pipeline3,ctgan,0.3881449650121432,b'\xbd\xe5\xb3?',1.5763570061219647,16.9s,200,250
pipeline3,ctgan,0.36705560460098735,b' \xdf\xc3?',1.7243828658795803,17.4s,200,250
pipeline3,ctgan,0.611086120815112,b'G\x11\xef>',0.6364305552646585,782.9s,200,250
